puzzle_id,solved,correct,time_seconds,nodes_explored,backtracks,arc_revisions,steps,error
lgp-test-2x6-24,True,True,0.0000,13,0,20,13,"{""1"": {""name"": ""Eric"", ""pet"": ""cat"", ""nationalitie"": ""dane"", ""occupation"": ""engineer"", ""sport"": ""basketball"", ""cigar"": ""pall mall""}, ""2"": {""name"": ""Arnold"", ""pet"": ""dog"", ""nationalitie"": ""brit"", ""occupation"": ""doctor"", ""sport"": ""soccer"", ""cigar"": ""prince""}}",
lgp-test-6x2-9,True,False,0.0000,14,2,81,14,"{""1"": {""flower"": ""iris"", ""name"": ""Peter""}, ""2"": {""name"": ""Carol"", ""flower"": ""lilies""}, ""3"": {""flower"": ""carnations"", ""name"": ""Bob""}, ""4"": {""name"": ""Alice"", ""flower"": ""daffodils""}, ""5"": {""name"": ""Arnold"", ""flower"": ""tulips""}, ""6"": {""name"": ""Eric"", ""flower"": ""roses""}}",
lgp-test-4x2-18,True,True,0.0000,9,1,33,9,"{""1"": {""name"": ""Alice"", ""color"": ""red""}, ""2"": {""name"": ""Eric"", ""color"": ""white""}, ""3"": {""color"": ""yellow"", ""name"": ""Peter""}, ""4"": {""name"": ""Arnold"", ""color"": ""green""}}",
lgp-test-5x2-15,True,True,0.0000,11,0,57,11,"{""1"": {""name"": ""Eric"", ""sport"": ""soccer""}, ""2"": {""name"": ""Arnold"", ""sport"": ""basketball""}, ""3"": {""sport"": ""swimming"", ""name"": ""Bob""}, ""4"": {""name"": ""Alice"", ""sport"": ""tennis""}, ""5"": {""sport"": ""baseball"", ""name"": ""Peter""}}",
lgp-test-5x4-2,True,True,0.0010,21,1,129,21,"{""1"": {""name"": ""Eric"", ""model"": ""google pixel 6"", ""occupation"": ""teacher"", ""color"": ""green""}, ""2"": {""name"": ""Bob"", ""model"": ""samsung galaxy s21"", ""occupation"": ""doctor"", ""color"": ""blue""}, ""3"": {""model"": ""huawei p50"", ""color"": ""red"", ""occupation"": ""artist"", ""name"": ""Peter""}, ""4"": {""model"": ""oneplus 9"", ""occupation"": ""lawyer"", ""name"": ""Alice"", ""color"": ""yellow""}, ""5"": {""model"": ""iphone 13"", ""occupation"": ""engineer"", ""name"": ""Arnold"", ""color"": ""white""}}",
lgp-test-4x4-21,True,True,0.0010,41,28,77,41,"{""1"": {""name"": ""Alice"", ""model"": ""honda civic"", ""hobby"": ""photography"", ""month"": ""sept""}, ""2"": {""name"": ""Arnold"", ""model"": ""tesla model 3"", ""month"": ""april"", ""hobby"": ""painting""}, ""3"": {""name"": ""Eric"", ""model"": ""ford f150"", ""month"": ""feb"", ""hobby"": ""cooking""}, ""4"": {""name"": ""Peter"", ""model"": ""toyota camry"", ""month"": ""jan"", ""hobby"": ""gardening""}}",
lgp-test-5x6-0,True,True,0.0020,31,1,183,31,"{""1"": {""model"": ""oneplus 9"", ""name"": ""Arnold"", ""animal"": ""fish"", ""color"": ""gray"", ""sport"": ""tennis"", ""house"": ""victorian""}, ""2"": {""model"": ""iphone 13"", ""house"": ""craftsman"", ""name"": ""Eric"", ""color"": ""red"", ""animal"": ""cat"", ""sport"": ""basketball""}, ""3"": {""model"": ""samsung galaxy s21"", ""animal"": ""bird"", ""color"": ""blonde"", ""name"": ""Peter"", ""sport"": ""baseball"", ""house"": ""modern""}, ""4"": {""sport"": ""soccer"", ""animal"": ""dog"", ""house"": ""ranch"", ""model"": ""google pixel 6"", ""color"": ""black"", ""name"": ""Alice""}, ""5"": {""model"": ""huawei p50"", ""color"": ""brown"", ""name"": ""Bob"", ""animal"": ""horse"", ""sport"": ""swimming"", ""house"": ""colonial""}}",
lgp-test-2x3-9,True,True,0.0000,7,0,11,7,"{""1"": {""name"": ""Eric"", ""house"": ""victorian"", ""model"": ""samsung galaxy s21""}, ""2"": {""name"": ""Arnold"", ""house"": ""colonial"", ""model"": ""iphone 13""}}",
lgp-test-5x5-12,True,True,0.0020,37,13,158,37,"{""1"": {""smoothie"": ""lime"", ""genre"": ""pop"", ""lunch"": ""grilled cheese"", ""name"": ""Arnold"", ""drink"": ""tea""}, ""2"": {""smoothie"": ""dragonfruit"", ""lunch"": ""stew"", ""genre"": ""classical"", ""drink"": ""root beer"", ""name"": ""Alice""}, ""3"": {""name"": ""Bob"", ""smoothie"": ""cherry"", ""lunch"": ""pizza"", ""drink"": ""water"", ""genre"": ""hip hop""}, ""4"": {""smoothie"": ""watermelon"", ""lunch"": ""stir fry"", ""genre"": ""rock"", ""drink"": ""coffee"", ""name"": ""Eric""}, ""5"": {""smoothie"": ""desert"", ""genre"": ""jazz"", ""lunch"": ""spaghetti"", ""drink"": ""milk"", ""name"": ""Peter""}}",
lgp-test-3x5-16,True,True,0.0000,16,0,53,16,"{""1"": {""name"": ""Eric"", ""drink"": ""water"", ""sport"": ""basketball"", ""animal"": ""horse"", ""genre"": ""science fiction""}, ""2"": {""name"": ""Arnold"", ""drink"": ""tea"", ""sport"": ""tennis"", ""animal"": ""cat"", ""genre"": ""mystery""}, ""3"": {""name"": ""Peter"", ""drink"": ""milk"", ""sport"": ""soccer"", ""animal"": ""bird"", ""genre"": ""romance""}}",
lgp-test-4x3-10,True,True,0.0000,13,0,57,13,"{""1"": {""pet"": ""bird"", ""name"": ""Arnold"", ""model"": ""google pixel 6""}, ""2"": {""pet"": ""cat"", ""name"": ""Eric"", ""model"": ""oneplus 9""}, ""3"": {""pet"": ""dog"", ""name"": ""Peter"", ""model"": ""iphone 13""}, ""4"": {""name"": ""Alice"", ""pet"": ""fish"", ""model"": ""samsung galaxy s21""}}",
lgp-test-5x6-30,True,True,0.0010,31,0,186,31,"{""1"": {""name"": ""Eric"", ""cigar"": ""blends"", ""smoothie"": ""desert"", ""sport"": ""swimming"", ""pet"": ""cat"", ""model"": ""samsung galaxy s21""}, ""2"": {""pet"": ""bird"", ""cigar"": ""prince"", ""smoothie"": ""dragonfruit"", ""name"": ""Alice"", ""sport"": ""baseball"", ""model"": ""iphone 13""}, ""3"": {""cigar"": ""dunhill"", ""name"": ""Peter"", ""pet"": ""dog"", ""smoothie"": ""cherry"", ""model"": ""google pixel 6"", ""sport"": ""basketball""}, ""4"": {""cigar"": ""blue master"", ""smoothie"": ""lime"", ""model"": ""huawei p50"", ""name"": ""Bob"", ""pet"": ""hamster"", ""sport"": ""tennis""}, ""5"": {""cigar"": ""pall mall"", ""name"": ""Arnold"", ""smoothie"": ""watermelon"", ""model"": ""oneplus 9"", ""pet"": ""fish"", ""sport"": ""soccer""}}",
lgp-test-3x5-30,True,True,0.0000,16,0,47,16,"{""1"": {""name"": ""Arnold"", ""genre"": ""classical"", ""cigar"": ""pall mall"", ""sport"": ""soccer"", ""are"": ""Janelle""}, ""2"": {""genre"": ""rock"", ""sport"": ""basketball"", ""cigar"": ""prince"", ""are"": ""Holly"", ""name"": ""Eric""}, ""3"": {""genre"": ""pop"", ""cigar"": ""blue master"", ""sport"": ""tennis"", ""are"": ""Aniya"", ""name"": ""Peter""}}",
lgp-test-4x3-27,True,True,0.0000,13,0,57,13,"{""1"": {""genre"": ""mystery"", ""sport"": ""soccer"", ""name"": ""Peter""}, ""2"": {""name"": ""Alice"", ""genre"": ""science fiction"", ""sport"": ""swimming""}, ""3"": {""genre"": ""romance"", ""sport"": ""tennis"", ""name"": ""Arnold""}, ""4"": {""genre"": ""fantasy"", ""sport"": ""basketball"", ""name"": ""Eric""}}",
lgp-test-5x2-22,True,True,0.0000,11,0,59,11,"{""1"": {""name"": ""Alice"", ""model"": ""huawei p50""}, ""2"": {""name"": ""Arnold"", ""model"": ""oneplus 9""}, ""3"": {""name"": ""Eric"", ""model"": ""google pixel 6""}, ""4"": {""name"": ""Peter"", ""model"": ""iphone 13""}, ""5"": {""name"": ""Bob"", ""model"": ""samsung galaxy s21""}}",
lgp-test-4x3-36,True,True,0.0010,13,0,58,13,"{""1"": {""name"": ""Alice"", ""house"": ""colonial"", ""drink"": ""coffee""}, ""2"": {""name"": ""Arnold"", ""house"": ""ranch"", ""drink"": ""tea""}, ""3"": {""name"": ""Eric"", ""house"": ""craftsman"", ""drink"": ""water""}, ""4"": {""name"": ""Peter"", ""house"": ""victorian"", ""drink"": ""milk""}}",
lgp-test-5x2-14,True,True,0.0010,11,0,46,11,"{""1"": {""name"": ""Eric"", ""lunch"": ""stir fry""}, ""2"": {""lunch"": ""grilled cheese"", ""name"": ""Bob""}, ""3"": {""name"": ""Alice"", ""lunch"": ""spaghetti""}, ""4"": {""name"": ""Peter"", ""lunch"": ""pizza""}, ""5"": {""lunch"": ""stew"", ""name"": ""Arnold""}}",
lgp-test-4x5-34,True,True,0.0020,95,93,93,95,"{""1"": {""name"": ""Eric"", ""height"": ""short"", ""drink"": ""milk"", ""child"": ""Bella"", ""are"": ""Janelle""}, ""2"": {""name"": ""Arnold"", ""height"": ""tall"", ""drink"": ""tea"", ""child"": ""Samantha"", ""are"": ""Aniya""}, ""3"": {""child"": ""Meredith"", ""name"": ""Peter"", ""height"": ""average"", ""are"": ""Holly"", ""drink"": ""coffee""}, ""4"": {""name"": ""Alice"", ""child"": ""Fred"", ""are"": ""Kailyn"", ""height"": ""very short"", ""drink"": ""water""}}",
lgp-test-3x6-5,True,True,0.0000,19,0,64,19,"{""1"": {""name"": ""Eric"", ""occupation"": ""doctor"", ""color"": ""white"", ""flower"": ""carnations"", ""lunch"": ""spaghetti"", ""height"": ""average""}, ""2"": {""name"": ""Arnold"", ""occupation"": ""engineer"", ""color"": ""yellow"", ""flower"": ""lilies"", ""lunch"": ""pizza"", ""height"": ""short""}, ""3"": {""name"": ""Peter"", ""occupation"": ""teacher"", ""color"": ""red"", ""flower"": ""daffodils"", ""lunch"": ""grilled cheese"", ""height"": ""very short""}}",
lgp-test-5x6-10,True,True,0.0040,81,65,164,81,"{""1"": {""hobby"": ""cooking"", ""sport"": ""swimming"", ""name"": ""Bob"", ""color"": ""blonde"", ""nationalitie"": ""german"", ""smoothie"": ""watermelon""}, ""2"": {""nationalitie"": ""norwegian"", ""hobby"": ""painting"", ""name"": ""Eric"", ""color"": ""red"", ""smoothie"": ""desert"", ""sport"": ""basketball""}, ""3"": {""name"": ""Peter"", ""hobby"": ""photography"", ""nationalitie"": ""swede"", ""color"": ""black"", ""smoothie"": ""cherry"", ""sport"": ""baseball""}, ""4"": {""nationalitie"": ""brit"", ""name"": ""Alice"", ""hobby"": ""gardening"", ""sport"": ""soccer"", ""color"": ""gray"", ""smoothie"": ""dragonfruit""}, ""5"": {""hobby"": ""knitting"", ""sport"": ""tennis"", ""name"": ""Arnold"", ""nationalitie"": ""dane"", ""smoothie"": ""lime"", ""color"": ""brown""}}",
lgp-test-5x2-30,True,True,0.0010,11,0,54,11,"{""1"": {""name"": ""Alice"", ""animal"": ""fish""}, ""2"": {""name"": ""Bob"", ""animal"": ""horse""}, ""3"": {""name"": ""Eric"", ""animal"": ""bird""}, ""4"": {""name"": ""Arnold"", ""animal"": ""cat""}, ""5"": {""name"": ""Peter"", ""animal"": ""dog""}}",
lgp-test-6x5-20,True,False,0.0030,32,2,205,32,"{""1"": {""name"": ""Eric"", ""lunch"": ""grilled cheese"", ""month"": ""may"", ""drink"": ""root beer"", ""height"": ""tall""}, ""2"": {""name"": ""Arnold"", ""drink"": ""water"", ""lunch"": ""stew"", ""month"": ""sept"", ""height"": ""very short""}, ""3"": {""name"": ""Peter"", ""month"": ""jan"", ""lunch"": ""soup"", ""drink"": ""milk"", ""height"": ""super tall""}, ""4"": {""lunch"": ""pizza"", ""name"": ""Carol"", ""drink"": ""boba tea"", ""month"": ""mar"", ""height"": ""very tall""}, ""5"": {""drink"": ""coffee"", ""name"": ""Bob"", ""lunch"": ""stir fry"", ""month"": ""april"", ""height"": ""average""}, ""6"": {""name"": ""Alice"", ""lunch"": ""spaghetti"", ""height"": ""short"", ""drink"": ""tea"", ""month"": ""feb""}}",
lgp-test-5x6-37,True,False,0.0020,31,0,179,31,"{""1"": {""hobby"": ""knitting"", ""house"": ""craftsman"", ""child"": ""Meredith"", ""height"": ""average"", ""name"": ""Eric"", ""sport"": ""swimming""}, ""2"": {""name"": ""Alice"", ""hobby"": ""gardening"", ""house"": ""ranch"", ""child"": ""Timothy"", ""height"": ""tall"", ""sport"": ""soccer""}, ""3"": {""sport"": ""tennis"", ""child"": ""Samantha"", ""house"": ""modern"", ""hobby"": ""cooking"", ""name"": ""Bob"", ""height"": ""very short""}, ""4"": {""name"": ""Peter"", ""sport"": ""baseball"", ""house"": ""colonial"", ""child"": ""Bella"", ""height"": ""very tall"", ""hobby"": ""painting""}, ""5"": {""house"": ""victorian"", ""child"": ""Fred"", ""name"": ""Arnold"", ""hobby"": ""photography"", ""sport"": ""basketball"", ""height"": ""short""}}",
lgp-test-4x4-16,True,True,0.0010,17,0,76,17,"{""1"": {""name"": ""Alice"", ""color"": ""yellow"", ""education"": ""high school"", ""animal"": ""fish""}, ""2"": {""color"": ""green"", ""animal"": ""cat"", ""education"": ""bachelor"", ""name"": ""Eric""}, ""3"": {""color"": ""white"", ""education"": ""associate"", ""name"": ""Peter"", ""animal"": ""bird""}, ""4"": {""color"": ""red"", ""education"": ""master"", ""name"": ""Arnold"", ""animal"": ""horse""}}",
lgp-test-6x5-4,False,False,0.0080,249,302,208,249,,
lgp-test-3x6-9,True,True,0.0010,19,0,51,19,"{""1"": {""model"": ""tesla model 3"", ""name"": ""Eric"", ""house"": ""ranch"", ""pet"": ""fish"", ""occupation"": ""doctor"", ""vacation"": ""city""}, ""2"": {""model"": ""toyota camry"", ""pet"": ""dog"", ""name"": ""Peter"", ""house"": ""victorian"", ""occupation"": ""engineer"", ""vacation"": ""beach""}, ""3"": {""model"": ""ford f150"", ""house"": ""colonial"", ""pet"": ""cat"", ""name"": ""Arnold"", ""occupation"": ""teacher"", ""vacation"": ""mountain""}}",
lgp-test-4x6-36,True,False,0.0010,25,1,114,25,"{""1"": {""flower"": ""lilies"", ""color"": ""yellow"", ""name"": ""Eric"", ""vacation"": ""mountain"", ""house"": ""victorian"", ""genre"": ""jazz""}, ""2"": {""name"": ""Peter"", ""genre"": ""classical"", ""vacation"": ""cruise"", ""flower"": ""daffodils"", ""house"": ""colonial"", ""color"": ""white""}, ""3"": {""house"": ""ranch"", ""name"": ""Alice"", ""genre"": ""pop"", ""vacation"": ""beach"", ""color"": ""red"", ""flower"": ""roses""}, ""4"": {""house"": ""craftsman"", ""name"": ""Arnold"", ""genre"": ""rock"", ""vacation"": ""city"", ""color"": ""green"", ""flower"": ""carnations""}}",
lgp-test-5x5-0,True,False,0.0010,38,14,133,38,"{""1"": {""name"": ""Bob"", ""smoothie"": ""lime"", ""genre"": ""science fiction"", ""lunch"": ""stew"", ""hobby"": ""photography""}, ""2"": {""name"": ""Eric"", ""smoothie"": ""watermelon"", ""genre"": ""fantasy"", ""lunch"": ""grilled cheese"", ""hobby"": ""cooking""}, ""3"": {""name"": ""Arnold"", ""smoothie"": ""dragonfruit"", ""genre"": ""mystery"", ""hobby"": ""gardening"", ""lunch"": ""spaghetti""}, ""4"": {""name"": ""Peter"", ""genre"": ""romance"", ""smoothie"": ""desert"", ""lunch"": ""stir fry"", ""hobby"": ""knitting""}, ""5"": {""name"": ""Alice"", ""lunch"": ""pizza"", ""smoothie"": ""cherry"", ""genre"": ""biography"", ""hobby"": ""painting""}}",
lgp-test-2x3-13,True,True,0.0010,7,0,8,7,"{""1"": {""name"": ""Arnold"", ""education"": ""associate"", ""are"": ""Holly""}, ""2"": {""name"": ""Eric"", ""education"": ""high school"", ""are"": ""Aniya""}}",
lgp-test-4x2-26,True,True,0.0000,9,0,40,9,"{""1"": {""name"": ""Eric"", ""occupation"": ""doctor""}, ""2"": {""name"": ""Arnold"", ""occupation"": ""engineer""}, ""3"": {""name"": ""Alice"", ""occupation"": ""artist""}, ""4"": {""name"": ""Peter"", ""occupation"": ""teacher""}}",
lgp-test-2x3-16,True,True,0.0000,7,0,6,7,"{""1"": {""name"": ""Eric"", ""lunch"": ""grilled cheese"", ""model"": ""tesla model 3""}, ""2"": {""name"": ""Arnold"", ""lunch"": ""pizza"", ""model"": ""ford f150""}}",
lgp-test-3x3-24,False,False,0.0000,0,0,13,0,,
lgp-test-5x6-12,True,False,0.0020,31,1,154,31,"{""1"": {""name"": ""Arnold"", ""model"": ""toyota camry"", ""height"": ""short"", ""vacation"": ""beach"", ""hobby"": ""knitting"", ""education"": ""bachelor""}, ""2"": {""name"": ""Peter"", ""height"": ""tall"", ""vacation"": ""camping"", ""education"": ""high school"", ""model"": ""ford f150"", ""hobby"": ""photography""}, ""3"": {""name"": ""Eric"", ""height"": ""average"", ""model"": ""honda civic"", ""education"": ""master"", ""vacation"": ""cruise"", ""hobby"": ""gardening""}, ""4"": {""name"": ""Alice"", ""height"": ""very short"", ""vacation"": ""city"", ""model"": ""bmw 3 series"", ""hobby"": ""cooking"", ""education"": ""doctorate""}, ""5"": {""name"": ""Bob"", ""height"": ""very tall"", ""vacation"": ""mountain"", ""model"": ""tesla model 3"", ""hobby"": ""painting"", ""education"": ""associate""}}",
lgp-test-2x6-25,True,False,0.0000,11,0,16,11,"{""1"": {""nationalitie"": ""dane"", ""name"": ""Arnold"", ""month"": ""sept"", ""color"": ""black"", ""child"": ""Fred""}, ""2"": {""nationalitie"": ""brit"", ""name"": ""Eric"", ""month"": ""april"", ""color"": ""brown"", ""child"": ""Bella""}}",
lgp-test-4x3-26,True,True,0.0010,13,0,45,13,"{""1"": {""name"": ""Peter"", ""genre"": ""pop"", ""lunch"": ""grilled cheese""}, ""2"": {""name"": ""Alice"", ""genre"": ""classical"", ""lunch"": ""stew""}, ""3"": {""name"": ""Arnold"", ""lunch"": ""pizza"", ""genre"": ""rock""}, ""4"": {""name"": ""Eric"", ""lunch"": ""spaghetti"", ""genre"": ""jazz""}}",
lgp-test-5x6-29,True,True,0.0020,31,0,182,31,"{""1"": {""name"": ""Eric"", ""sport"": ""baseball"", ""pet"": ""bird"", ""child"": ""Timothy"", ""drink"": ""milk"", ""vacation"": ""cruise""}, ""2"": {""name"": ""Bob"", ""vacation"": ""beach"", ""pet"": ""dog"", ""child"": ""Fred"", ""sport"": ""tennis"", ""drink"": ""coffee""}, ""3"": {""child"": ""Bella"", ""drink"": ""root beer"", ""pet"": ""cat"", ""sport"": ""basketball"", ""name"": ""Arnold"", ""vacation"": ""city""}, ""4"": {""pet"": ""fish"", ""name"": ""Alice"", ""child"": ""Samantha"", ""sport"": ""soccer"", ""vacation"": ""mountain"", ""drink"": ""tea""}, ""5"": {""child"": ""Meredith"", ""vacation"": ""camping"", ""pet"": ""hamster"", ""name"": ""Peter"", ""sport"": ""swimming"", ""drink"": ""water""}}",
lgp-test-2x6-14,True,True,0.0000,13,0,22,13,"{""1"": {""name"": ""Eric"", ""height"": ""very short"", ""pet"": ""cat"", ""nationalitie"": ""dane"", ""color"": ""yellow"", ""are"": ""Holly""}, ""2"": {""name"": ""Arnold"", ""height"": ""short"", ""pet"": ""dog"", ""nationalitie"": ""brit"", ""color"": ""red"", ""are"": ""Aniya""}}",
lgp-test-2x5-30,True,True,0.0000,11,0,14,11,"{""1"": {""name"": ""Arnold"", ""height"": ""short"", ""flower"": ""daffodils"", ""color"": ""brown"", ""cigar"": ""prince""}, ""2"": {""name"": ""Eric"", ""height"": ""very short"", ""flower"": ""carnations"", ""color"": ""black"", ""cigar"": ""pall mall""}}",
lgp-test-5x5-21,True,True,0.0020,26,0,148,26,"{""1"": {""sport"": ""swimming"", ""cigar"": ""prince"", ""pet"": ""fish"", ""genre"": ""fantasy"", ""name"": ""Peter""}, ""2"": {""pet"": ""bird"", ""sport"": ""baseball"", ""cigar"": ""pall mall"", ""genre"": ""biography"", ""name"": ""Alice""}, ""3"": {""pet"": ""hamster"", ""cigar"": ""blends"", ""sport"": ""soccer"", ""genre"": ""romance"", ""name"": ""Bob""}, ""4"": {""name"": ""Eric"", ""sport"": ""basketball"", ""cigar"": ""blue master"", ""pet"": ""cat"", ""genre"": ""mystery""}, ""5"": {""sport"": ""tennis"", ""cigar"": ""dunhill"", ""pet"": ""dog"", ""name"": ""Arnold"", ""genre"": ""science fiction""}}",
lgp-test-2x4-33,True,True,0.0000,9,0,10,9,"{""1"": {""name"": ""Arnold"", ""cigar"": ""prince"", ""flower"": ""daffodils"", ""sport"": ""basketball""}, ""2"": {""name"": ""Eric"", ""cigar"": ""pall mall"", ""flower"": ""carnations"", ""sport"": ""soccer""}}",
lgp-test-4x2-28,True,True,0.0010,9,0,35,9,"{""1"": {""name"": ""Alice"", ""color"": ""red""}, ""2"": {""name"": ""Arnold"", ""color"": ""black""}, ""3"": {""name"": ""Eric"", ""color"": ""brown""}, ""4"": {""name"": ""Peter"", ""color"": ""blonde""}}",
lgp-test-6x6-5,False,False,0.0015,0,0,277,0,,
lgp-test-2x2-18,True,False,0.0000,5,0,7,5,"{""1"": {""name"": ""Eric"", ""height"": ""very short""}, ""2"": {""name"": ""Arnold"", ""height"": ""short""}}",
lgp-test-2x6-29,True,True,0.0000,13,0,21,13,"{""1"": {""name"": ""Eric"", ""pet"": ""dog"", ""genre"": ""rock"", ""lunch"": ""pizza"", ""nationalitie"": ""dane"", ""month"": ""april""}, ""2"": {""name"": ""Arnold"", ""genre"": ""pop"", ""pet"": ""cat"", ""lunch"": ""grilled cheese"", ""nationalitie"": ""brit"", ""month"": ""sept""}}",
lgp-test-4x2-14,True,True,0.0010,9,0,30,9,"{""1"": {""name"": ""Alice"", ""are"": ""Kailyn""}, ""2"": {""name"": ""Peter"", ""are"": ""Aniya""}, ""3"": {""name"": ""Arnold"", ""are"": ""Holly""}, ""4"": {""name"": ""Eric"", ""are"": ""Janelle""}}",
lgp-test-4x6-29,True,True,0.0010,40,19,105,40,"{""1"": {""color"": ""blonde"", ""occupation"": ""doctor"", ""month"": ""sept"", ""name"": ""Peter"", ""smoothie"": ""desert"", ""house"": ""craftsman""}, ""2"": {""smoothie"": ""cherry"", ""color"": ""brown"", ""month"": ""april"", ""occupation"": ""artist"", ""name"": ""Eric"", ""house"": ""ranch""}, ""3"": {""month"": ""jan"", ""house"": ""colonial"", ""color"": ""red"", ""smoothie"": ""dragonfruit"", ""occupation"": ""teacher"", ""name"": ""Arnold""}, ""4"": {""month"": ""feb"", ""occupation"": ""engineer"", ""color"": ""black"", ""smoothie"": ""watermelon"", ""house"": ""victorian"", ""name"": ""Alice""}}",
