id,grid_solution,steps
lgp-test-4x2-18,"{""header"": [""House"", ""Color"", ""Name""], ""rows"": [[""1"", ""red"", ""Alice""], [""2"", ""white"", ""Eric""], [""3"", ""yellow"", ""Peter""], [""4"", ""green"", ""Arnold""]]}",9
lgp-test-5x2-15,"{""header"": [""House"", ""Name"", ""Sport""], ""rows"": [[""1"", ""Eric"", ""soccer""], [""2"", ""Arnold"", ""basketball""], [""3"", ""Bob"", ""swimming""], [""4"", ""Alice"", ""tennis""], [""5"", ""Peter"", ""baseball""]]}",11
lgp-test-5x4-2,"{""header"": [""House"", ""Color"", ""Model"", ""Name"", ""Occupation""], ""rows"": [[""1"", ""green"", ""google pixel 6"", ""Eric"", ""teacher""], [""2"", ""blue"", ""samsung galaxy s21"", ""Bob"", ""doctor""], [""3"", ""red"", ""huawei p50"", ""Peter"", ""artist""], [""4"", ""yellow"", ""oneplus 9"", ""Alice"", ""lawyer""], [""5"", ""white"", ""iphone 13"", ""Arnold"", ""engineer""]]}",21
lgp-test-4x4-21,"{""header"": [""House"", ""Hobby"", ""Model"", ""Month"", ""Name""], ""rows"": [[""1"", ""photography"", ""honda civic"", ""sept"", ""Alice""], [""2"", ""painting"", ""tesla model 3"", ""april"", ""Arnold""], [""3"", ""cooking"", ""ford f150"", ""feb"", ""Eric""], [""4"", ""gardening"", ""toyota camry"", ""jan"", ""Peter""]]}",41
lgp-test-5x6-0,"{""header"": [""House"", ""Animal"", ""Color"", ""House"", ""Model"", ""Name"", ""Sport""], ""rows"": [[""1"", ""fish"", ""gray"", ""victorian"", ""oneplus 9"", ""Arnold"", ""tennis""], [""2"", ""cat"", ""red"", ""craftsman"", ""iphone 13"", ""Eric"", ""basketball""], [""3"", ""bird"", ""blonde"", ""modern"", ""samsung galaxy s21"", ""Peter"", ""baseball""], [""4"", ""dog"", ""black"", ""ranch"", ""google pixel 6"", ""Alice"", ""soccer""], [""5"", ""horse"", ""brown"", ""colonial"", ""huawei p50"", ""Bob"", ""swimming""]]}",31
lgp-test-2x3-9,"{""header"": [""House"", ""House"", ""Model"", ""Name""], ""rows"": [[""1"", ""victorian"", ""samsung galaxy s21"", ""Eric""], [""2"", ""colonial"", ""iphone 13"", ""Arnold""]]}",7
lgp-test-5x5-12,"{""header"": [""House"", ""Drink"", ""Genre"", ""Lunch"", ""Name"", ""Smoothie""], ""rows"": [[""1"", ""tea"", ""pop"", ""grilled cheese"", ""Arnold"", ""lime""], [""2"", ""root beer"", ""classical"", ""stew"", ""Alice"", ""dragonfruit""], [""3"", ""water"", ""hip hop"", ""pizza"", ""Bob"", ""cherry""], [""4"", ""coffee"", ""rock"", ""stir fry"", ""Eric"", ""watermelon""], [""5"", ""milk"", ""jazz"", ""spaghetti"", ""Peter"", ""desert""]]}",37
lgp-test-3x5-16,"{""header"": [""House"", ""Animal"", ""Drink"", ""Genre"", ""Name"", ""Sport""], ""rows"": [[""1"", ""horse"", ""water"", ""science fiction"", ""Eric"", ""basketball""], [""2"", ""cat"", ""tea"", ""mystery"", ""Arnold"", ""tennis""], [""3"", ""bird"", ""milk"", ""romance"", ""Peter"", ""soccer""]]}",16
lgp-test-4x3-10,"{""header"": [""House"", ""Model"", ""Name"", ""Pet""], ""rows"": [[""1"", ""google pixel 6"", ""Arnold"", ""bird""], [""2"", ""oneplus 9"", ""Eric"", ""cat""], [""3"", ""iphone 13"", ""Peter"", ""dog""], [""4"", ""samsung galaxy s21"", ""Alice"", ""fish""]]}",13
lgp-test-5x6-30,"{""header"": [""House"", ""Cigar"", ""Model"", ""Name"", ""Pet"", ""Smoothie"", ""Sport""], ""rows"": [[""1"", ""blends"", ""samsung galaxy s21"", ""Eric"", ""cat"", ""desert"", ""swimming""], [""2"", ""prince"", ""iphone 13"", ""Alice"", ""bird"", ""dragonfruit"", ""baseball""], [""3"", ""dunhill"", ""google pixel 6"", ""Peter"", ""dog"", ""cherry"", ""basketball""], [""4"", ""blue master"", ""huawei p50"", ""Bob"", ""hamster"", ""lime"", ""tennis""], [""5"", ""pall mall"", ""oneplus 9"", ""Arnold"", ""fish"", ""watermelon"", ""soccer""]]}",31
lgp-test-3x5-30,"{""header"": [""House"", ""Are"", ""Cigar"", ""Genre"", ""Name"", ""Sport""], ""rows"": [[""1"", ""Janelle"", ""pall mall"", ""classical"", ""Arnold"", ""soccer""], [""2"", ""Holly"", ""prince"", ""rock"", ""Eric"", ""basketball""], [""3"", ""Aniya"", ""blue master"", ""pop"", ""Peter"", ""tennis""]]}",16
lgp-test-4x3-27,"{""header"": [""House"", ""Genre"", ""Name"", ""Sport""], ""rows"": [[""1"", ""mystery"", ""Peter"", ""soccer""], [""2"", ""science fiction"", ""Alice"", ""swimming""], [""3"", ""romance"", ""Arnold"", ""tennis""], [""4"", ""fantasy"", ""Eric"", ""basketball""]]}",13
lgp-test-5x2-22,"{""header"": [""House"", ""Model"", ""Name""], ""rows"": [[""1"", ""huawei p50"", ""Alice""], [""2"", ""oneplus 9"", ""Arnold""], [""3"", ""google pixel 6"", ""Eric""], [""4"", ""iphone 13"", ""Peter""], [""5"", ""samsung galaxy s21"", ""Bob""]]}",11
lgp-test-4x3-36,"{""header"": [""House"", ""Drink"", ""House"", ""Name""], ""rows"": [[""1"", ""coffee"", ""colonial"", ""Alice""], [""2"", ""tea"", ""ranch"", ""Arnold""], [""3"", ""water"", ""craftsman"", ""Eric""], [""4"", ""milk"", ""victorian"", ""Peter""]]}",13
lgp-test-5x2-14,"{""header"": [""House"", ""Lunch"", ""Name""], ""rows"": [[""1"", ""stir fry"", ""Eric""], [""2"", ""grilled cheese"", ""Bob""], [""3"", ""spaghetti"", ""Alice""], [""4"", ""pizza"", ""Peter""], [""5"", ""stew"", ""Arnold""]]}",11
lgp-test-4x5-34,"{""header"": [""House"", ""Are"", ""Child"", ""Drink"", ""Height"", ""Name""], ""rows"": [[""1"", ""Janelle"", ""Bella"", ""milk"", ""short"", ""Eric""], [""2"", ""Aniya"", ""Samantha"", ""tea"", ""tall"", ""Arnold""], [""3"", ""Holly"", ""Meredith"", ""coffee"", ""average"", ""Peter""], [""4"", ""Kailyn"", ""Fred"", ""water"", ""very short"", ""Alice""]]}",95
lgp-test-3x6-5,"{""header"": [""House"", ""Color"", ""Flower"", ""Height"", ""Lunch"", ""Name"", ""Occupation""], ""rows"": [[""1"", ""white"", ""carnations"", ""average"", ""spaghetti"", ""Eric"", ""doctor""], [""2"", ""yellow"", ""lilies"", ""short"", ""pizza"", ""Arnold"", ""engineer""], [""3"", ""red"", ""daffodils"", ""very short"", ""grilled cheese"", ""Peter"", ""teacher""]]}",19
lgp-test-5x6-10,"{""header"": [""House"", ""Color"", ""Hobby"", ""Name"", ""Nationalitie"", ""Smoothie"", ""Sport""], ""rows"": [[""1"", ""blonde"", ""cooking"", ""Bob"", ""german"", ""watermelon"", ""swimming""], [""2"", ""red"", ""painting"", ""Eric"", ""norwegian"", ""desert"", ""basketball""], [""3"", ""black"", ""photography"", ""Peter"", ""swede"", ""cherry"", ""baseball""], [""4"", ""gray"", ""gardening"", ""Alice"", ""brit"", ""dragonfruit"", ""soccer""], [""5"", ""brown"", ""knitting"", ""Arnold"", ""dane"", ""lime"", ""tennis""]]}",81
lgp-test-5x2-30,"{""header"": [""House"", ""Animal"", ""Name""], ""rows"": [[""1"", ""fish"", ""Alice""], [""2"", ""horse"", ""Bob""], [""3"", ""bird"", ""Eric""], [""4"", ""cat"", ""Arnold""], [""5"", ""dog"", ""Peter""]]}",11
lgp-test-6x5-20,"{""header"": [""House"", ""Drink"", ""Height"", ""Lunch"", ""Month"", ""Name""], ""rows"": [[""1"", ""root beer"", ""tall"", ""grilled cheese"", ""may"", ""Eric""], [""2"", ""water"", ""very short"", ""stew"", ""sept"", ""Arnold""], [""3"", ""milk"", ""super tall"", ""soup"", ""jan"", ""Peter""], [""4"", ""boba tea"", ""very tall"", ""pizza"", ""mar"", ""Carol""], [""5"", ""coffee"", ""average"", ""stir fry"", ""april"", ""Bob""], [""6"", ""tea"", ""short"", ""spaghetti"", ""feb"", ""Alice""]]}",32
lgp-test-5x6-37,"{""header"": [""House"", ""Child"", ""Height"", ""Hobby"", ""House"", ""Name"", ""Sport""], ""rows"": [[""1"", ""Meredith"", ""average"", ""knitting"", ""craftsman"", ""Eric"", ""swimming""], [""2"", ""Timothy"", ""tall"", ""gardening"", ""ranch"", ""Alice"", ""soccer""], [""3"", ""Samantha"", ""very short"", ""cooking"", ""modern"", ""Bob"", ""tennis""], [""4"", ""Bella"", ""very tall"", ""painting"", ""colonial"", ""Peter"", ""baseball""], [""5"", ""Fred"", ""short"", ""photography"", ""victorian"", ""Arnold"", ""basketball""]]}",31
lgp-test-4x4-16,"{""header"": [""House"", ""Animal"", ""Color"", ""Education"", ""Name""], ""rows"": [[""1"", ""fish"", ""yellow"", ""high school"", ""Alice""], [""2"", ""cat"", ""green"", ""bachelor"", ""Eric""], [""3"", ""bird"", ""white"", ""associate"", ""Peter""], [""4"", ""horse"", ""red"", ""master"", ""Arnold""]]}",17
lgp-test-6x5-4,,249
lgp-test-3x6-9,"{""header"": [""House"", ""House"", ""Model"", ""Name"", ""Occupation"", ""Pet"", ""Vacation""], ""rows"": [[""1"", ""ranch"", ""tesla model 3"", ""Eric"", ""doctor"", ""fish"", ""city""], [""2"", ""victorian"", ""toyota camry"", ""Peter"", ""engineer"", ""dog"", ""beach""], [""3"", ""colonial"", ""ford f150"", ""Arnold"", ""teacher"", ""cat"", ""mountain""]]}",19
lgp-test-4x6-36,"{""header"": [""House"", ""Color"", ""Flower"", ""Genre"", ""House"", ""Name"", ""Vacation""], ""rows"": [[""1"", ""yellow"", ""lilies"", ""jazz"", ""victorian"", ""Eric"", ""mountain""], [""2"", ""white"", ""daffodils"", ""classical"", ""colonial"", ""Peter"", ""cruise""], [""3"", ""red"", ""roses"", ""pop"", ""ranch"", ""Alice"", ""beach""], [""4"", ""green"", ""carnations"", ""rock"", ""craftsman"", ""Arnold"", ""city""]]}",25
lgp-test-5x5-0,"{""header"": [""House"", ""Genre"", ""Hobby"", ""Lunch"", ""Name"", ""Smoothie""], ""rows"": [[""1"", ""science fiction"", ""photography"", ""stew"", ""Bob"", ""lime""], [""2"", ""fantasy"", ""cooking"", ""grilled cheese"", ""Eric"", ""watermelon""], [""3"", ""mystery"", ""gardening"", ""spaghetti"", ""Arnold"", ""dragonfruit""], [""4"", ""romance"", ""knitting"", ""stir fry"", ""Peter"", ""desert""], [""5"", ""biography"", ""painting"", ""pizza"", ""Alice"", ""cherry""]]}",38
lgp-test-2x3-13,"{""header"": [""House"", ""Are"", ""Education"", ""Name""], ""rows"": [[""1"", ""Holly"", ""associate"", ""Arnold""], [""2"", ""Aniya"", ""high school"", ""Eric""]]}",7
lgp-test-4x2-26,"{""header"": [""House"", ""Name"", ""Occupation""], ""rows"": [[""1"", ""Eric"", ""doctor""], [""2"", ""Arnold"", ""engineer""], [""3"", ""Alice"", ""artist""], [""4"", ""Peter"", ""teacher""]]}",9
lgp-test-2x3-16,"{""header"": [""House"", ""Lunch"", ""Model"", ""Name""], ""rows"": [[""1"", ""grilled cheese"", ""tesla model 3"", ""Eric""], [""2"", ""pizza"", ""ford f150"", ""Arnold""]]}",7
lgp-test-3x3-24,,0
lgp-test-5x6-12,"{""header"": [""House"", ""Education"", ""Height"", ""Hobby"", ""Model"", ""Name"", ""Vacation""], ""rows"": [[""1"", ""bachelor"", ""short"", ""knitting"", ""toyota camry"", ""Arnold"", ""beach""], [""2"", ""high school"", ""tall"", ""photography"", ""ford f150"", ""Peter"", ""camping""], [""3"", ""master"", ""average"", ""gardening"", ""honda civic"", ""Eric"", ""cruise""], [""4"", ""doctorate"", ""very short"", ""cooking"", ""bmw 3 series"", ""Alice"", ""city""], [""5"", ""associate"", ""very tall"", ""painting"", ""tesla model 3"", ""Bob"", ""mountain""]]}",31
lgp-test-2x6-25,"{""header"": [""House"", ""Child"", ""Color"", ""Month"", ""Name"", ""Nationalitie""], ""rows"": [[""1"", ""Fred"", ""black"", ""sept"", ""Arnold"", ""dane""], [""2"", ""Bella"", ""brown"", ""april"", ""Eric"", ""brit""]]}",11
lgp-test-4x3-26,"{""header"": [""House"", ""Genre"", ""Lunch"", ""Name""], ""rows"": [[""1"", ""pop"", ""grilled cheese"", ""Peter""], [""2"", ""classical"", ""stew"", ""Alice""], [""3"", ""rock"", ""pizza"", ""Arnold""], [""4"", ""jazz"", ""spaghetti"", ""Eric""]]}",13
lgp-test-5x6-29,"{""header"": [""House"", ""Child"", ""Drink"", ""Name"", ""Pet"", ""Sport"", ""Vacation""], ""rows"": [[""1"", ""Timothy"", ""milk"", ""Eric"", ""bird"", ""baseball"", ""cruise""], [""2"", ""Fred"", ""coffee"", ""Bob"", ""dog"", ""tennis"", ""beach""], [""3"", ""Bella"", ""root beer"", ""Arnold"", ""cat"", ""basketball"", ""city""], [""4"", ""Samantha"", ""tea"", ""Alice"", ""fish"", ""soccer"", ""mountain""], [""5"", ""Meredith"", ""water"", ""Peter"", ""hamster"", ""swimming"", ""camping""]]}",31
lgp-test-2x6-14,"{""header"": [""House"", ""Are"", ""Color"", ""Height"", ""Name"", ""Nationalitie"", ""Pet""], ""rows"": [[""1"", ""Holly"", ""yellow"", ""very short"", ""Eric"", ""dane"", ""cat""], [""2"", ""Aniya"", ""red"", ""short"", ""Arnold"", ""brit"", ""dog""]]}",13
lgp-test-2x5-30,"{""header"": [""House"", ""Cigar"", ""Color"", ""Flower"", ""Height"", ""Name""], ""rows"": [[""1"", ""prince"", ""brown"", ""daffodils"", ""short"", ""Arnold""], [""2"", ""pall mall"", ""black"", ""carnations"", ""very short"", ""Eric""]]}",11
lgp-test-5x5-21,"{""header"": [""House"", ""Cigar"", ""Genre"", ""Name"", ""Pet"", ""Sport""], ""rows"": [[""1"", ""prince"", ""fantasy"", ""Peter"", ""fish"", ""swimming""], [""2"", ""pall mall"", ""biography"", ""Alice"", ""bird"", ""baseball""], [""3"", ""blends"", ""romance"", ""Bob"", ""hamster"", ""soccer""], [""4"", ""blue master"", ""mystery"", ""Eric"", ""cat"", ""basketball""], [""5"", ""dunhill"", ""science fiction"", ""Arnold"", ""dog"", ""tennis""]]}",26
lgp-test-2x4-33,"{""header"": [""House"", ""Cigar"", ""Flower"", ""Name"", ""Sport""], ""rows"": [[""1"", ""prince"", ""daffodils"", ""Arnold"", ""basketball""], [""2"", ""pall mall"", ""carnations"", ""Eric"", ""soccer""]]}",9
lgp-test-4x2-28,"{""header"": [""House"", ""Color"", ""Name""], ""rows"": [[""1"", ""red"", ""Alice""], [""2"", ""black"", ""Arnold""], [""3"", ""brown"", ""Eric""], [""4"", ""blonde"", ""Peter""]]}",9
lgp-test-6x6-5,,0
lgp-test-2x2-18,"{""header"": [""House"", ""Height"", ""Name""], ""rows"": [[""1"", ""very short"", ""Eric""], [""2"", ""short"", ""Arnold""]]}",5
lgp-test-2x6-29,"{""header"": [""House"", ""Genre"", ""Lunch"", ""Month"", ""Name"", ""Nationalitie"", ""Pet""], ""rows"": [[""1"", ""rock"", ""pizza"", ""april"", ""Eric"", ""dane"", ""dog""], [""2"", ""pop"", ""grilled cheese"", ""sept"", ""Arnold"", ""brit"", ""cat""]]}",13
lgp-test-4x2-14,"{""header"": [""House"", ""Are"", ""Name""], ""rows"": [[""1"", ""Kailyn"", ""Alice""], [""2"", ""Aniya"", ""Peter""], [""3"", ""Holly"", ""Arnold""], [""4"", ""Janelle"", ""Eric""]]}",9
lgp-test-4x6-29,"{""header"": [""House"", ""Color"", ""House"", ""Month"", ""Name"", ""Occupation"", ""Smoothie""], ""rows"": [[""1"", ""blonde"", ""craftsman"", ""sept"", ""Peter"", ""doctor"", ""desert""], [""2"", ""brown"", ""ranch"", ""april"", ""Eric"", ""artist"", ""cherry""], [""3"", ""red"", ""colonial"", ""jan"", ""Arnold"", ""teacher"", ""dragonfruit""], [""4"", ""black"", ""victorian"", ""feb"", ""Alice"", ""engineer"", ""watermelon""]]}",40
lgp-test-5x3-26,"{""header"": [""House"", ""Child"", ""Genre"", ""Name""], ""rows"": [[""1"", ""Samantha"", ""fantasy"", ""Eric""], [""2"", ""Meredith"", ""biography"", ""Arnold""], [""3"", ""Timothy"", ""science fiction"", ""Alice""], [""4"", ""Fred"", ""mystery"", ""Bob""], [""5"", ""Bella"", ""romance"", ""Peter""]]}",16
lgp-test-5x6-3,"{""header"": [""House"", ""Cigar"", ""Lunch"", ""Model"", ""Name"", ""Occupation"", ""Smoothie""], ""rows"": [[""1"", ""dunhill"", ""stir fry"", ""bmw 3 series"", ""Bob"", ""artist"", ""desert""], [""2"", ""blends"", ""spaghetti"", ""honda civic"", ""Peter"", ""doctor"", ""dragonfruit""], [""3"", ""prince"", ""pizza"", ""ford f150"", ""Eric"", ""engineer"", ""watermelon""], [""4"", ""blue master"", ""stew"", ""tesla model 3"", ""Arnold"", ""lawyer"", ""cherry""], [""5"", ""pall mall"", ""grilled cheese"", ""toyota camry"", ""Alice"", ""teacher"", ""lime""]]}",37
lgp-test-3x2-21,"{""header"": [""House"", ""Height"", ""Name""], ""rows"": [[""1"", ""very short"", ""Peter""], [""2"", ""short"", ""Arnold""], [""3"", ""average"", ""Eric""]]}",7
lgp-test-4x6-26,"{""header"": [""House"", ""Animal"", ""Are"", ""Education"", ""Genre"", ""Month"", ""Name""], ""rows"": [[""1"", ""horse"", ""Janelle"", ""master"", ""rock"", ""feb"", ""Arnold""], [""2"", ""cat"", ""Holly"", ""bachelor"", ""jazz"", ""april"", ""Eric""], [""3"", ""fish"", ""Aniya"", ""associate"", ""pop"", ""jan"", ""Alice""], [""4"", ""bird"", ""Kailyn"", ""high school"", ""classical"", ""sept"", ""Peter""]]}",25
lgp-test-4x6-21,"{""header"": [""House"", ""Color"", ""Flower"", ""Hobby"", ""House"", ""Name"", ""Pet""], ""rows"": [[""1"", ""red"", ""roses"", ""gardening"", ""colonial"", ""Peter"", ""bird""], [""2"", ""yellow"", ""daffodils"", ""photography"", ""craftsman"", ""Arnold"", ""dog""], [""3"", ""white"", ""carnations"", ""painting"", ""ranch"", ""Alice"", ""fish""], [""4"", ""green"", ""lilies"", ""cooking"", ""victorian"", ""Eric"", ""cat""]]}",26
lgp-test-3x4-19,"{""header"": [""House"", ""Drink"", ""Model"", ""Name"", ""Occupation""], ""rows"": [[""1"", ""milk"", ""samsung galaxy s21"", ""Eric"", ""engineer""], [""2"", ""water"", ""google pixel 6"", ""Arnold"", ""teacher""], [""3"", ""tea"", ""iphone 13"", ""Peter"", ""doctor""]]}",13
lgp-test-5x2-38,"{""header"": [""House"", ""Model"", ""Name""], ""rows"": [[""1"", ""oneplus 9"", ""Peter""], [""2"", ""huawei p50"", ""Alice""], [""3"", ""iphone 13"", ""Bob""], [""4"", ""samsung galaxy s21"", ""Arnold""], [""5"", ""google pixel 6"", ""Eric""]]}",11
lgp-test-3x6-26,"{""header"": [""House"", ""House"", ""Month"", ""Name"", ""Nationalitie"", ""Pet"", ""Sport""], ""rows"": [[""1"", ""ranch"", ""sept"", ""Eric"", ""dane"", ""fish"", ""tennis""], [""2"", ""colonial"", ""jan"", ""Arnold"", ""brit"", ""cat"", ""basketball""], [""3"", ""victorian"", ""april"", ""Peter"", ""swede"", ""dog"", ""soccer""]]}",20
lgp-test-3x6-4,"{""header"": [""House"", ""Flower"", ""Height"", ""Month"", ""Name"", ""Sport"", ""Vacation""], ""rows"": [[""1"", ""daffodils"", ""average"", ""jan"", ""Peter"", ""soccer"", ""city""], [""2"", ""carnations"", ""very short"", ""sept"", ""Arnold"", ""tennis"", ""mountain""], [""3"", ""lilies"", ""short"", ""april"", ""Eric"", ""basketball"", ""beach""]]}",19
lgp-test-6x3-39,"{""header"": [""House"", ""Child"", ""Name"", ""Smoothie""], ""rows"": [[""1"", ""Timothy"", ""Bob"", ""blueberry""], [""2"", ""Fred"", ""Alice"", ""cherry""], [""3"", ""Samantha"", ""Arnold"", ""desert""], [""4"", ""Alice"", ""Carol"", ""watermelon""], [""5"", ""Bella"", ""Peter"", ""lime""], [""6"", ""Meredith"", ""Eric"", ""dragonfruit""]]}",21
lgp-test-3x5-14,"{""header"": [""House"", ""Education"", ""Flower"", ""Name"", ""Pet"", ""Smoothie""], ""rows"": [[""1"", ""bachelor"", ""daffodils"", ""Arnold"", ""fish"", ""desert""], [""2"", ""associate"", ""carnations"", ""Eric"", ""dog"", ""cherry""], [""3"", ""high school"", ""lilies"", ""Peter"", ""cat"", ""watermelon""]]}",16
lgp-test-2x2-16,"{""header"": [""House"", ""Name"", ""Sport""], ""rows"": [[""1"", ""Eric"", ""basketball""], [""2"", ""Arnold"", ""soccer""]]}",5
lgp-test-3x2-2,"{""header"": [""House"", ""Are"", ""Name""], ""rows"": [[""1"", ""Janelle"", ""Arnold""], [""2"", ""Holly"", ""Peter""], [""3"", ""Aniya"", ""Eric""]]}",7
lgp-test-2x2-1,"{""header"": [""House"", ""Name"", ""Occupation""], ""rows"": [[""1"", ""Eric"", ""engineer""], [""2"", ""Arnold"", ""doctor""]]}",5
lgp-test-2x2-38,"{""header"": [""House"", ""Are"", ""Name""], ""rows"": [[""1"", ""Aniya"", ""Eric""], [""2"", ""Holly"", ""Arnold""]]}",5
lgp-test-3x4-10,"{""header"": [""House"", ""Genre"", ""Lunch"", ""Name"", ""Smoothie""], ""rows"": [[""1"", ""mystery"", ""spaghetti"", ""Peter"", ""watermelon""], [""2"", ""romance"", ""grilled cheese"", ""Eric"", ""cherry""], [""3"", ""science fiction"", ""pizza"", ""Arnold"", ""desert""]]}",13
lgp-test-4x4-13,"{""header"": [""House"", ""Cigar"", ""Drink"", ""Name"", ""Sport""], ""rows"": [[""1"", ""prince"", ""water"", ""Alice"", ""soccer""], [""2"", ""blue master"", ""coffee"", ""Arnold"", ""tennis""], [""3"", ""dunhill"", ""tea"", ""Eric"", ""basketball""], [""4"", ""pall mall"", ""milk"", ""Peter"", ""swimming""]]}",17
lgp-test-3x3-7,"{""header"": [""House"", ""Color"", ""Month"", ""Name""], ""rows"": [[""1"", ""black"", ""april"", ""Peter""], [""2"", ""blonde"", ""jan"", ""Arnold""], [""3"", ""brown"", ""sept"", ""Eric""]]}",10
lgp-test-4x4-26,"{""header"": [""House"", ""Animal"", ""Lunch"", ""Model"", ""Name""], ""rows"": [[""1"", ""horse"", ""stew"", ""toyota camry"", ""Alice""], [""2"", ""bird"", ""spaghetti"", ""tesla model 3"", ""Arnold""], [""3"", ""fish"", ""pizza"", ""ford f150"", ""Eric""], [""4"", ""cat"", ""grilled cheese"", ""honda civic"", ""Peter""]]}",17
lgp-test-6x4-16,"{""header"": [""House"", ""Name"", ""Nationalitie"", ""Smoothie"", ""Vacation""], ""rows"": [[""1"", ""Bob"", ""chinese"", ""blueberry"", ""city""], [""2"", ""Arnold"", ""swede"", ""dragonfruit"", ""cultural""], [""3"", ""Eric"", ""dane"", ""cherry"", ""mountain""], [""4"", ""Alice"", ""norwegian"", ""lime"", ""camping""], [""5"", ""Carol"", ""brit"", ""watermelon"", ""cruise""], [""6"", ""Peter"", ""german"", ""desert"", ""beach""]]}",27
